h3_cell,lat,lon,location_name,police_station,violation_count,violations_per_device,unique_vehicles,unique_days,CIS,rank,hotspot_status,hotspot_confidence,cis_violation_density,cis_vehicle_severity,cis_queueing_delay,cis_road_capacity_impact,cis_temporal_persistence,cis_peak_hour_ratio,bpr_delay_min_per_km,expected_n,mean_dwell,chronic_offender_count,peak_ratio,peak_description,road_type,lanes,dominant_vehicle,dominant_violation,gi_z_score,gi_p_value,lisa_label
8960145a433ffff,12.9240725804179,77.55342078210683,Banashankari / Cell-33ffff,Banashankari,8,2.0,8,4,12.522726770392916,1289,NOT_HOTSPOT,0.0,0.006369426751592357,0.2875,0.0010316979372981755,0.009523809523809525,0.02,0.625,0.054102586587744,0.0009114432127107,99.04607820366608,0.0,0.625,Heavy peak-hour concentration (>60%),arterial,2.0,CAR,WRONG PARKING,-0.1879402864859607,0.34,LL
8960145a437ffff,12.9218925,77.550915,Banashankari / Cell-37ffff,Banashankari,2,2.0,2,1,13.160905841679574,1196,NOT_HOTSPOT,0.0,0.006369426751592357,0.4,0.24294065150163105,0.009523809523809525,0.0,0.0,0.072161452239154,0.0009114432127107,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,2.0,MAXI-CAB,WRONG PARKING,-0.2073880367250561,0.301,LL
8960145a43bffff,12.9262217,77.5546533,Banashankari / Cell-3bffff,Banashankari,1,1.0,1,1,30.564063345941566,53,NOT_HOTSPOT,0.0,0.0,0.8,0.7258222149161256,0.0031746031746031746,0.0,0.0,0.1082092840815009,0.0004557216063553,99.04607820366608,0.0,0.0,Distributed throughout the day,local,2.0,HGV,WRONG PARKING,-0.1782511204255658,0.351,LL
8960145a447ffff,12.9339983,77.562245,Basavanagudi / Cell-47ffff,Basavanagudi,1,1.0,1,1,22.88881325651823,261,NOT_HOTSPOT,0.0,0.0,0.4,0.2420597104449591,0.0031746031746031746,0.0,1.0,0.0720956886700308,0.0004557216063553,99.04607820366608,0.0,1.0,Heavy peak-hour concentration (>60%),collector,2.0,MAXI-CAB,WRONG PARKING,-0.4332750846430893,0.005,LL
8960145a44fffff,12.935836440872842,77.5614247333344,Basavanagudi / Cell-4fffff,Basavanagudi,5,2.5,5,2,19.414643534142307,460,NOT_HOTSPOT,0.0,0.009554140127388535,0.22000000000000003,0.7259323586907367,0.012698412698412698,0.006666666666666667,0.0,0.1082175064792201,0.0011393040158883,99.04607820366608,0.0,0.0,Distributed throughout the day,local,2.0,CAR,PARKING IN A MAIN ROAD | WRONG PARKING,-0.4315971469158166,0.005,LL
8960145a453ffff,12.9299587,77.56735353333333,Banashankari / Cell-53ffff,Banashankari,3,1.5,3,1,5.007248254555155,2265,NOT_HOTSPOT,0.0,0.0031847133757961785,0.0,0.24161961624610778,0.006349206349206349,0.0,0.0,0.0720628349790288,0.000683582409533,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,2.0,SCOOTER,NO PARKING,-0.3822050080732814,0.021,LL
8960145a463ffff,12.932782114285716,77.55687237142857,Banashankari / Cell-63ffff,Banashankari,7,1.75,7,4,20.94941239549499,356,NOT_HOTSPOT,0.0,0.004777070063694267,0.3,0.7255469012427507,0.007936507936507936,0.02,0.0,0.1081887315034908,0.0007975128111218,99.04607820366608,0.0,0.0,Distributed throughout the day,local,2.0,CAR,NO PARKING,-0.4146086372555387,0.009,LL
8960145a46bffff,12.9380178767152,77.55709581711524,Basavanagudi / Cell-6bffff,Basavanagudi,31,5.166666666666667,30,8,15.835997319344807,835,EMERGING,0.3,0.02653927813163482,0.0935483870967742,0.2485540837148831,0.02962962962962963,0.04666666666666667,0.7419354838709677,0.0725805033602009,0.0077735703210192,327.0,0.0,0.7419354838709677,Heavy peak-hour concentration (>60%),collector,2.0,SCOOTER,WRONG PARKING,-0.4148902104141506,0.009,LL
8960145a473ffff,12.932727,77.5572228,Banashankari / Cell-73ffff,Banashankari,1,1.0,1,1,18.537645151982034,549,NOT_HOTSPOT,0.0,0.0,0.2,0.7245013052181493,0.0031746031746031746,0.0,0.0,0.1081106761944346,0.0004557216063553,99.04607820366608,0.0,0.0,Distributed throughout the day,local,2.0,CAR,WRONG PARKING,-0.4073443683540628,0.011,LL
8960145a477ffff,12.9299208,77.55451830000001,Banashankari / Cell-77ffff,Banashankari,2,2.0,2,1,27.84939641627423,110,NOT_HOTSPOT,0.0,0.006369426751592357,0.65,0.7273651802313637,0.009523809523809525,0.0,0.0,0.1083244687529325,0.0009114432127107,99.04607820366608,0.0,0.0,Distributed throughout the day,local,2.0,HGV,WRONG PARKING,-0.2501036310002121,0.222,LL
8960145a47bffff,12.933995,77.5586917,Banashankari / Cell-7bffff,Banashankari,1,1.0,1,1,30.564063345941566,53,NOT_HOTSPOT,0.0,0.0,0.8,0.7258222149161256,0.0031746031746031746,0.0,0.0,0.1082092840815009,0.0004557216063553,99.04607820366608,0.0,0.0,Distributed throughout the day,local,2.0,HGV,WRONG PARKING,-0.4073443683540628,0.011,LL
8960145a483ffff,12.917941426666667,77.56441363333333,Banashankari / Cell-83ffff,Banashankari,15,5.0,15,3,17.12641649643337,698,EMERGING,0.3,0.025477707006369428,0.36,0.003045119635135334,0.02857142857142857,0.013333333333333334,0.8666666666666667,0.0542528915326629,0.0022786080317767,99.04607820366608,0.0,0.8666666666666667,Heavy peak-hour concentration (>60%),arterial,2.0,LGV,WRONG PARKING,-0.3958539274125149,0.014,LL
8960145a487ffff,12.918356728571428,77.55972791428572,Banashankari / Cell-87ffff,Banashankari,7,3.5,7,3,6.235630280779795,2162,EMERGING,0.3,0.01592356687898089,0.02857142857142856,0.24235324591645413,0.01904761904761905,0.013333333333333334,0.0,0.0721176015325584,0.0015950256222437,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,2.0,SCOOTER,WRONG PARKING,-0.3399954237728162,0.066,LL
8960145a48bffff,12.9230354,77.5657006,Banashankari / Cell-8bffff,Banashankari,1,1.0,1,1,14.528845775089664,991,NOT_HOTSPOT,0.0,0.0,0.0,0.7240613363735308,0.0031746031746031746,0.0,0.0,0.1080778318613138,0.0004557216063553,99.04607820366608,0.0,0.0,Distributed throughout the day,local,2.0,SCOOTER,WRONG PARKING,-0.4519127869758271,0.001,LL
