h3_cell,forecast_method,predicted_violations_next_week,predicted_lower,predicted_upper,trend_direction,trend_slope,forecast_confidence,CIS,hotspot_status,police_station,location_name,lat,lon,trend_multiplier,predicted_risk,risk_category
8960145b427ffff,prophet,252,106,387,FALLING,-2.441200889986254,-0.11418363479008664,51.2244524515289,CONFIRMED_HIGH,Upparpet,Upparpet / Cell-27ffff,12.977516395475778,77.5789348066636,0.7,35.85711671607022,LOW
8960145b4cbffff,prophet,71,0,146,STABLE,-0.5486822640323078,-1.2022604837383843,36.293413504629854,EMERGING,Shivajinagar,Shivajinagar / Cell-cbffff,12.98127650928931,77.59855050145495,1.0,36.293413504629854,LOW
89618925d97ffff,prophet,60,34,86,RISING,2.9179588584335594,0.12245733192193009,30.211131918098992,EMERGING,Mico Layout,Mico Layout / Cell-97ffff,12.908056736745888,77.60080520182815,1.3,39.274471493528694,LOW
8961892cb7bffff,prophet,77,36,113,RISING,1.9912717782638376,-0.01041038786084525,29.27954686796849,CONFIRMED_HIGH,Kodigehalli,Kodigehalli / Cell-7bffff,13.070322412635983,77.58745858242678,1.3,38.06341092835904,LOW
8960145b30fffff,prophet,129,71,186,RISING,2.774437450634818,0.10502965019020072,31.997246202629142,CONFIRMED_HIGH,Malleshwaram,Malleshwaram / Cell-0fffff,13.011185091408777,77.55449988318706,1.3,41.59642006341789,MODERATE
8961892ec1bffff,prophet,5,0,13,STABLE,0.048615967690997706,-2.4732901043583517,36.550007627912166,EMERGING,Banaswadi,Banaswadi / Cell-1bffff,12.979863108791209,77.65244215934067,1.0,36.550007627912166,LOW
8960145b323ffff,prophet,54,30,77,RISING,1.3313313872845196,0.12970624238529083,37.85959582402504,EMERGING,Rajajinagar,Rajajinagar / Cell-23ffff,13.008183868464243,77.54859522403282,1.3,49.21747457123256,MODERATE
89618926397ffff,prophet,70,30,106,RISING,2.2024736144799686,-0.09398017939089098,47.626934540934045,EMERGING,Electronic City,Electronic City / Cell-97ffff,12.84177233462322,77.64658491751528,1.3,61.91501490321426,HIGH
89618924053ffff,prophet,24,12,35,STABLE,0.33594400524752055,0.05704602220213051,54.31582557569818,CONFIRMED_HIGH,Hulimavu,Hulimavu / Cell-53ffff,12.893046106533989,77.63729457995419,1.0,54.31582557569818,MODERATE
8960145b307ffff,prophet,119,68,169,RISING,2.032816229489262,0.1503294301472774,32.26086705265468,EMERGING,Malleshwaram,Malleshwaram / Cell-07ffff,13.008431898797966,77.55468794479889,1.3,41.93912716845109,MODERATE
8960145b17bffff,prophet,21,7,34,STABLE,0.8248457870856135,-0.3220096357183042,30.39891783005041,CONFIRMED_HIGH,Rajajinagar,Rajajinagar / Cell-7bffff,12.994668192653062,77.55208603877551,1.0,30.39891783005041,LOW
89618925b7bffff,prophet,95,14,168,STABLE,-0.14553499070050005,-0.6192267672100469,28.845465569173506,EMERGING,Halasuru Gate,Halasuru Gate / Cell-7bffff,12.96462529801623,77.5841122660054,1.0,28.845465569173506,LOW
8960169052fffff,prophet,60,27,90,RISING,1.0813726809272672,-0.05056446152779648,28.804349615943863,CONFIRMED_HIGH,Chikkajala,Chikkajala / Cell-2fffff,13.18375014028918,77.67972563995335,1.3,37.445654500727024,LOW
8961892e9bbffff,prophet,181,77,285,RISING,3.5316127440311056,-0.14666355470983827,34.68660453199712,CONFIRMED_HIGH,Shivajinagar,Shivajinagar / Cell-bbffff,12.9808757008218,77.61015499056103,1.3,45.09258589159626,MODERATE
89618925987ffff,trend_classifier,2,0,0,RISING,0.7999999999999998,0.5,14.919705324101756,EMERGING,Jayanagara,Jayanagara / Cell-87ffff,12.925000618025331,77.58341979684324,1.3,19.395616921332284,MINIMAL
8960145a32bffff,trend_classifier,1,0,0,STABLE,-1.1354946762557216e-15,0.5,15.164873397361047,EMERGING,Byatarayanapura,Byatarayanapura / Cell-2bffff,12.95844054142012,77.51905910946745,1.0,15.164873397361047,MINIMAL
8961892e163ffff,trend_classifier,0,0,0,FALLING,-0.5,0.5,25.258736941738768,CONFIRMED,Mahadevapura,Mahadevapura / Cell-63ffff,12.99464835,77.666560925,0.7,17.681115859217137,MINIMAL
8961892e56fffff,insufficient_data,1,0,0,UNKNOWN,0.0,0.1,8.882944776680523,NOT_HOTSPOT,Banaswadi,Banaswadi / Cell-6fffff,12.9792733,77.6796118,0.8,7.106355821344419,MINIMAL
89618925957ffff,trend_classifier,5,0,0,FALLING,-4.400000000000005,0.5,19.38599937274768,EMERGING,Wilson Garden,Wilson Garden / Cell-57ffff,12.937636313247417,77.58476009450511,0.7,13.570199560923376,MINIMAL
89618925823ffff,trend_classifier,0,0,0,STABLE,-7.850462293418875e-17,0.5,11.946678039207873,NOT_HOTSPOT,Wilson Garden,Wilson Garden / Cell-23ffff,12.9424682,77.59419324999999,1.0,11.946678039207873,MINIMAL
8961892418fffff,trend_classifier,2,0,0,RISING,0.5,0.5,5.183971621375795,NOT_HOTSPOT,Hulimavu,Hulimavu / Cell-8fffff,12.87659196,77.61128312000001,1.3,6.739163107788533,MINIMAL
8960145a31bffff,insufficient_data,1,0,0,UNKNOWN,0.0,0.1,14.8338589573567,NOT_HOTSPOT,Byatarayanapura,Byatarayanapura / Cell-1bffff,12.9585433,77.5290366,0.8,11.86708716588536,MINIMAL
896189218c7ffff,trend_classifier,4,0,0,RISING,0.9999999999999998,0.5,9.188475695763271,EMERGING,Mahadevapura,Mahadevapura / Cell-c7ffff,12.99182375,77.75641631666666,1.3,11.945018404492254,MINIMAL
8961892eb93ffff,trend_classifier,0,0,0,FALLING,-1.9000000000000017,0.5,13.65361207591785,EMERGING,Pulikeshinagar(F.Town),Pulikeshinagar(F.Town) / Cell-93ffff,12.998368608333337,77.62358752916667,0.7,9.557528453142496,MINIMAL
